id;title;description;status;priority;dependencies;complexity
1;Définir le schéma BDD;Écrire et valider le schéma complet des tables Supabase pour tous les domaines métier;fait;Haute;();7/10
1.1;Lister les entités principales;Identifier toutes les entités métier à modéliser (users, services, bookings, etc.);fait;Haute;(1);3/10
1.2;Définir les champs et contraintes;Établir les champs, types, contraintes et relations pour chaque table;fait;Haute;(1.1);4/10
1.3;Mettre en place les index et triggers;Définir les index pour la recherche, les triggers pour l’audit et la cohérence;fait;Haute;(1.2);3/10
1.4;Rédiger les règles RLS;Écrire les règles de sécurité d’accès aux données (RLS) pour chaque table;fait;Haute;(1.2);3/10
1.5;Documenter le schéma;Rédiger la documentation complète et schémas ERD;fait;Haute;(1.4);2/10
2;Lister les endpoints API;Lister tous les endpoints nécessaires pour couvrir les besoins (CRUD, recherche, auth, etc.);à faire;Haute;();6/10
2.1;Lister les opérations CRUD;Lister toutes les opérations CRUD par ressource (users, services, bookings...);fait;Haute;(2);3/10
2.2;Définir les endpoints de recherche et filtres;Lister les endpoints pour la recherche avancée et les filtres;fait;Haute;(2.1);3/10
2.3;Décrire les payloads et réponses;Définir les schémas de requête/réponse pour chaque endpoint;fait;Haute;(2.2);3/10
2.4;Développer les endpoints API;Développer les endpoints API en fonction des besoins;à faire;Haute;(2.3);3/10
2.5;Tester les endpoints API;Tester les endpoints API pour s'assurer de leur fonctionnement correct;à faire;Haute;(2.4);3/10
3;Structurer le projet Deno;Créer l’arborescence des fichiers (routes, handlers, modèles, tests);à faire;Moyenne;(1,2);5/10
3.1;Créer la structure des dossiers;Créer les dossiers routes, services, models, tests, utils;fait;Moyenne;(3);2/10
3.2;Initialiser les fichiers principaux;Créer les fichiers d’entrée (main.ts, router, config, etc.);fait;Moyenne;(3.1);2/10
3.3;Mettre en place la configuration Supabase;Configurer la connexion à Supabase dans le projet Deno;fait;Moyenne;(3.2);2/10
4;Implémenter l’authentification;Développer les endpoints d’inscription, connexion, gestion du token;fait;Haute;(3);6/10
4.1;Créer les modèles et services auth;Définir les modèles User, AuthService, gestion du hash de mot de passe;fait;Haute;(4);3/10
4.2;Développer les endpoints register/login/logout;Implémenter les routes d’inscription, connexion, déconnexion;fait;Haute;(4.1);3/10
4.3;Gérer la validation et les erreurs auth;Ajouter la validation des entrées et la gestion des erreurs explicites;fait;Haute;(4.2);3/10
